case,fault,method,test_normal,test_fault,f1_macro,balanced_accuracy,false_alarm_rate,fault_period_recall
re2ob_emailservice_cpu_1,cpu,SingleCenter,144,721,0.9758041958041959,0.9916782246879334,0.0,0.9833564493758669
re2ob_emailservice_cpu_1,cpu,KMeans,144,721,0.9758041958041959,0.9916782246879334,0.0,0.9833564493758669
re2ob_emailservice_cpu_1,cpu,MaxDeviation,144,721,0.9758041958041959,0.9916782246879334,0.0,0.9833564493758669
re2ob_emailservice_cpu_2,cpu,SingleCenter,144,721,0.9938029702757499,0.9979195561719834,0.0,0.9958391123439667
re2ob_emailservice_cpu_2,cpu,KMeans,144,721,0.9938029702757499,0.9979195561719834,0.0,0.9958391123439667
re2ob_emailservice_cpu_2,cpu,MaxDeviation,144,721,0.9938029702757499,0.9979195561719834,0.0,0.9958391123439667
re2ob_emailservice_cpu_3,cpu,SingleCenter,144,721,0.9302932105171904,0.9243190399137001,0.13194444444444445,0.9805825242718447
re2ob_emailservice_cpu_3,cpu,KMeans,144,721,0.927975980565025,0.9208468176914779,0.1388888888888889,0.9805825242718447
re2ob_emailservice_cpu_3,cpu,MaxDeviation,144,721,0.9302932105171904,0.9243190399137001,0.13194444444444445,0.9805825242718447
re2ob_emailservice_delay_1,delay,SingleCenter,144,721,0.9254310344827585,0.9277960779781168,0.11805555555555555,0.9736477115117892
re2ob_emailservice_delay_1,delay,KMeans,144,721,0.9254310344827585,0.9277960779781168,0.11805555555555555,0.9736477115117892
re2ob_emailservice_delay_1,delay,MaxDeviation,144,721,0.9254310344827585,0.9277960779781168,0.11805555555555555,0.9736477115117892
re2ob_emailservice_delay_2,delay,SingleCenter,144,721,0.9368876979099646,0.9771151178918169,0.0,0.9542302357836339
re2ob_emailservice_delay_2,delay,KMeans,144,721,0.9368876979099646,0.9771151178918169,0.0,0.9542302357836339
re2ob_emailservice_delay_2,delay,MaxDeviation,144,721,0.9605001187279668,0.986130374479889,0.0,0.9722607489597781
re2ob_emailservice_delay_3,delay,SingleCenter,144,721,0.9554056840763376,0.968070966250578,0.041666666666666664,0.9778085991678225
re2ob_emailservice_delay_3,delay,KMeans,144,721,0.9378591954022988,0.9402931884728001,0.09722222222222222,0.9778085991678225
re2ob_emailservice_delay_3,delay,MaxDeviation,144,721,0.9596736596736597,0.9750154106950224,0.027777777777777776,0.9778085991678225
re2ob_emailservice_disk_1,disk,SingleCenter,144,721,0.9877067818770962,0.9958391123439667,0.0,0.9916782246879334
re2ob_emailservice_disk_1,disk,KMeans,144,721,0.9877067818770962,0.9958391123439667,0.0,0.9916782246879334
re2ob_emailservice_disk_1,disk,MaxDeviation,144,721,0.9877067818770962,0.9958391123439667,0.0,0.9916782246879334
re2ob_emailservice_disk_2,disk,SingleCenter,144,721,0.7707013044657609,0.7180613345661889,0.5555555555555556,0.9916782246879334
re2ob_emailservice_disk_2,disk,KMeans,144,721,0.8126456598771475,0.7645920018492833,0.4583333333333333,0.9875173370319001
re2ob_emailservice_disk_2,disk,MaxDeviation,144,721,0.8037347128627504,0.7611245954692556,0.4583333333333333,0.9805825242718447
re2ob_emailservice_disk_3,disk,SingleCenter,144,721,0.9856965688300952,0.9951456310679612,0.0,0.9902912621359223
re2ob_emailservice_disk_3,disk,KMeans,144,721,0.9815101142169053,0.9882011866235167,0.013888888888888888,0.9902912621359223
re2ob_emailservice_disk_3,disk,MaxDeviation,144,721,0.953128078817734,0.9430622977346279,0.10416666666666667,0.9902912621359223
