sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
250,12,12,60,5,2510,0.003870545000609127,1,1
251,12,11,58,5,2276,0.0034225340004923055,0,1
252,12,12,60,5,2510,0.003608836999774212,1,1
253,12,13,69,5,2870,0.004228322000017215,3,1
254,12,11,58,5,2276,0.0033316569997623446,0,1
255,12,11,58,5,2276,0.0034335589998590876,0,1
256,16,19,137,6,10464,0.013854012000592775,7,1
257,16,15,112,6,8087,0.011138122000375006,1,1
258,16,17,136,6,9389,0.01239910799995414,4,1
259,16,14,108,6,7583,0.010444670000651968,0,1
260,16,17,126,6,9113,0.011853797999719973,3,1
261,16,16,118,6,8603,0.01228483100021549,2,1
262,16,15,116,6,8093,0.01131400299982488,1,1
263,16,22,170,7,15258,0.020312696000473807,11,1
264,17,16,95,5,5166,0.00740220700026839,0,1
265,17,19,101,5,6249,0.00848918700012291,3,1
266,17,18,110,5,5908,0.0080016700003398,2,1
267,17,16,95,5,5166,0.007141135999518156,0,1
268,17,21,134,6,9341,0.012584189999870432,7,1
269,17,25,138,6,11325,0.02841937599987432,11,1
270,17,17,97,5,5527,0.0075488600004973705,1,1
271,17,17,107,5,5537,0.007778872000017145,1,1
272,17,15,107,5,6530,0.009043545999702474,0,1
273,17,16,112,5,6950,0.010081452000122226,1,1
274,17,17,118,5,7380,0.010109456000463979,2,1
275,17,20,140,5,9156,0.011886737000168068,7,1
